地名,センター,燃やすごみ,容器包装プラスチック類,燃やさないごみ,ペットボトル,有害危険ごみ
青田,,火 金,木,木1 木3,木2 木4,水2 水4
市野谷,,月 木,水,水1 水3,水2 水4,土1 土3
後平井,,月 木,水,水1 水3,水2 水4,土1 土3
江戸川台西1丁目,,水 土,月,月1 月3,月2 月4,火2 火4
江戸川台西2丁目,,水 土,月,月1 月3,月2 月4,火2 火4
江戸川台西3丁目,,水 土,月,月1 月3,月2 月4,火2 火4
江戸川台西4丁目,,水 土,月,月1 月3,月2 月4,火2 火4
江戸川台東1丁目,,水 土,月,月1 月3,月2 月4,木1 木3
江戸川台東2丁目,,水 土,火,火1 火3,火2 火4,木1 木3
江戸川台東3丁目,,水 土,火,火1 火3,火2 火4,木1 木3
江戸川台東4丁目,,水 土,火,火1 火3,火2 火4,木1 木3
大畔,,火 金,木,木1 木3,木2 木4,月2 月4
おおたかの森北一丁目,,火 金,木,木1 木3,木2 木4,水1 水3
おおたかの森北二丁目,,火 金,木,木1 木3,木2 木4,水1 水3
おおたかの森北三丁目,,火 金,木,木1 木3,木2 木4,水1 水3
おおたかの森西一丁目,,月 木,水,水1 水3,水2 水4,土1 土3
おおたかの森西二丁目,,月 木,水,水1 水3,水2 水4,土1 土3
おおたかの森西三丁目,,火 金,木,木1 木3,木2 木4,月2 月4
おおたかの森西四丁目,,火 金,木,木1 木3,木2 木4,月2 月4
おおたかの森東一丁目,,火 金,木,木1 木3,木2 木4,水1 水3
おおたかの森東二丁目,,火 金,木,木1 木3,木2 木4,水1 水3
おおたかの森東三丁目,,火 金,木,木1 木3,木2 木4,水1 水3
おおたかの森東四丁目,,火 金,木,木1 木3,木2 木4,水1 水3
おおたかの森南一丁目,,火 金,木,木1 木3,木2 木4,土1 土3
おおたかの森南二丁目,,月 木,水,水1 水3,水2 水4,土1 土3
おおたかの森南三丁目,,月 木,水,水1 水3,水2 水4,土1 土3
思井,,月 木,水,水1 水3,水2 水4,金2 金4
思井一丁目,,月 木,水,水1 水3,水2 水4,金2 金4
加,,水 土,月,月1 月3,月2 月4,金1 金3
加一丁目,,水 土,月,月1 月3,月2 月4,金1 金3
加二丁目,,水 土,月,月1 月3,月2 月4,金1 金3
加三丁目,,水 土,月,月1 月3,月2 月4,金1 金3
加四丁目,,水 土,月,月1 月3,月2 月4,金1 金3
加五丁目,,水 土,月,月1 月3,月2 月4,金1 金3
加六丁目,,水 土,月,月1 月3,月2 月4,金1 金3
上貝塚,,水 土,月,月1 月3,月2 月4,火1 火3
上新宿,,水 土,月,月1 月3,月2 月4,火1 火3
上新宿新田,,水 土,月,月1 月3,月2 月4,火1 火3
木,,火 金,水,水1 水3,水2 水4,木2 木4
北,,水 土,月,月1 月3,月2 月4,火1 火3
桐ケ谷,,水 土,月,月1 月3,月2 月4,火1 火3
こうのす台,,水 土,火,火1 火3,火2 火4,金1 金3
駒木,,火 金,木,木1 木3,木2 木4,水1 水3
駒木台,,火 金,木,木1 木3,木2 木4,水2 水4
小屋,,水 土,月,月1 月3,月2 月4,火1 火3
芝崎,,月 木,水,水1 水3,水2 水4,金2 金4
下花輪,,水 土,月,月1 月3,月2 月4,火1 火3
谷,,水 土,月,月1 月3,月2 月4,火1 火3
中,,月 木,水,水1 水3,水2 水4,金2 金4
中野久木,,水 土,月,月1 月3,月2 月4,木2 木4
長崎1丁目,,火 金,水,水1 水3,水2 水4,土1 土3
長崎2丁目,,火 金,水,水1 水3,水2 水4,土1 土3
流山,,火 金,水,水1 水3,水2 水4,月1 月3
流山1丁目,,水 土,火,火1 火3,火2 火4,木1 木3
流山2丁目,,水 土,火,火1 火3,火2 火4,木1 木3
流山3丁目,,水 土,火,火1 火3,火2 火4,木1 木3
流山4丁目,,水 土,火,火1 火3,火2 火4,木1 木3
流山5丁目,,月 木,火,火1 火3,火2 火4,水1 水3
流山6丁目,,月 木,火,火1 火3,火2 火4,水1 水3
流山7丁目,,月 木,火,火1 火3,火2 火4,水1 水3
流山8丁目,,月 木,火,火1 火3,火2 火4,水1 水3
流山9丁目,,月 木,火,火1 火3,火2 火4,水1 水3
名都借,,月 木,水,水1 水3,水2 水4,火1 火3
西初石1丁目,,水 土,月,月1 月3,月2 月4,火2 火4
西初石2丁目,,水 土,月,月1 月3,月2 月4,火2 火4
西初石3丁目,,火 金,木,木1 木3,木2 木4,月2 月4
西初石4丁目,,火 金,木,木1 木3,木2 木4,月2 月4
西初石5丁目,,火 金,木,木1 木3,木2 木4,月2 月4
西平井,,月 木,金,金1 金3,金2 金4,水1 水3
西平井一丁目,,月 木,金,金1 金3,金2 金4,水1 水3
西平井二丁目,,月 木,金,金1 金3,金2 金4,水1 水3
西平井三丁目,,月 木,金,金1 金3,金2 金4,水1 水3
西深井,,水 土,火,火1 火3,火2 火4,木2 木4
西松ケ丘1丁目,,月 木,金,金1 金3,金2 金4,火1 火3
野々下1丁目,,月 木,水,水1 水3,水2 水4,土1 土3
野々下2丁目,,火 金,水,水1 水3,水2 水4,月1 月3
野々下3丁目,,火 金,水,水1 水3,水2 水4,月1 月3
野々下4丁目,,火 金,水,水1 水3,水2 水4,月1 月3
野々下5丁目,,火 金,水,水1 水3,水2 水4,月1 月3
野々下6丁目,,火 金,水,水1 水3,水2 水4,月1 月3
東初石1丁目,,火 金,月,月1 月3,月2 月4,木1 木3
東初石2丁目,,火 金,月,月1 月3,月2 月4,木1 木3
東初石3丁目,,火 金,月,月1 月3,月2 月4,土2 土4
東初石4丁目,,火 金,月,月1 月3,月2 月4,土2 土4
東深井A（東深井B以外の地域）,,水 土,火,火1 火3,火2 火4,金2 金4
東深井B（大橋団地・オークタウン江戸川台・小田急江戸川台団地・星和江戸川台・TBSやよい団地・トーメン第3江戸川台・東急団地・中ノ坪・東深井みどり台・東深井こもれび各地域）,,水 土,火,火1 火3,火2 火4,金1 金3
平方,,水 土,火,火1 火3,火2 火4,木2 木4
平方村新田,,水 土,火,火1 火3,火2 火4,木2 木4
鰭ケ崎,,月 木,金,金1 金3,金2 金4,水2 水4
鰭ケ崎一丁目,,月 木,金,金1 金3,金2 金4,水2 水4
鰭ケ崎二丁目,,月 木,金,金1 金3,金2 金4,水2 水4
深井新田,,水 土,火,火1 火3,火2 火4,木2 木4
富士見台,,水 土,月,月1 月3,月2 月4,火1 火3
富士見台1丁目,,水 土,月,月1 月3,月2 月4,火1 火3
富士見台2丁目,,水 土,月,月1 月3,月2 月4,火1 火3
古間木,,月 木,水,水1 水3,水2 水4,金2 金4
平和台1丁目,,水 土,火,火1 火3,火2 火4,木1 木3
平和台2丁目,,水 土,火,火1 火3,火2 火4,木1 木3
平和台3丁目,,水 土,火,火1 火3,火2 火4,木1 木3
平和台4丁目,,水 土,火,火1 火3,火2 火4,木1 木3
平和台5丁目,,水 土,火,火1 火3,火2 火4,木1 木3
前ケ崎,,月 木,金,金1 金3,金2 金4,土1 土3
前平井,,月 木,水,水1 水3,水2 水4,土1 土3
松ケ丘1丁目,,月 木,金,金1 金3,金2 金4,火2 火4
松ケ丘2丁目,,月 木,金,金1 金3,金2 金4,火2 火4
松ケ丘3丁目,,月 木,金,金1 金3,金2 金4,火1 火3
松ケ丘4丁目,,月 木,金,金1 金3,金2 金4,火1 火3
松ケ丘5丁目,,月 木,水,水1 水3,水2 水4,火2 火4
松ケ丘6丁目,,月 木,水,水1 水3,水2 水4,火2 火4
美田,,火 金,木,木1 木3,木2 木4,水2 水4
南,,水 土,月,月1 月3,月2 月4,火1 火3
南流山1丁目,,火 金,木,木1 木3,木2 木4,月1 月3
南流山2丁目,,火 金,木,木1 木3,木2 木4,月2 月4
南流山3丁目,,火 金,木,木1 木3,木2 木4,月2 月4
南流山4丁目,,火 金,水,水1 水3,水2 水4,月1 月3
南流山5丁目,,火 金,水,水1 水3,水2 水4,月1 月3
南流山6丁目,,火 金,木,木1 木3,木2 木4,月2 月4
南流山7丁目,,火 金,水,水1 水3,水2 水4,木2 木4
南流山8丁目,,火 金,水,水1 水3,水2 水4,木2 木4
美原1丁目,,水 土,火,火1 火3,火2 火4,木2 木4
美原2丁目,,水 土,火,火1 火3,火2 火4,木2 木4
美原3丁目,,水 土,火,火1 火3,火2 火4,木2 木4
美原4丁目,,水 土,火,火1 火3,火2 火4,木2 木4
宮園1丁目,,月 木,水,水1 水3,水2 水4,金2 金4
宮園2丁目,,月 木,水,水1 水3,水2 水4,金2 金4
宮園3丁目,,月 木,水,水1 水3,水2 水4,金2 金4
三輪野山,,水 土,月,月1 月3,月2 月4,金1 金3
三輪野山一丁目,,水 土,月,月1 月3,月2 月4,金1 金3
三輪野山二丁目,,水 土,月,月1 月3,月2 月4,金1 金3
三輪野山三丁目,,水 土,月,月1 月3,月2 月4,金1 金3
三輪野山四丁目,,水 土,月,月1 月3,月2 月4,金1 金3
三輪野山五丁目,,水 土,月,月1 月3,月2 月4,金1 金3
向小金1丁目,,月 木,金,金1 金3,金2 金4,土1 土3
向小金2丁目,,月 木,金,金1 金3,金2 金4,土2 土4
向小金3丁目,,月 木,金,金1 金3,金2 金4,土2 土4
向小金4丁目,,月 木,金,金1 金3,金2 金4,土2 土4
若葉台,,火 金,木,木1 木3,木2 木4,月2 月4
